WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
50754,New Well,Public Supply,City of Bronte,Coke,"1 mi. East Hwy. 70 -.8 mile, Blackwell, 79506",32.078333,-100.296389,29-62-5,12/16/2003,12/31/2003,2003,285,Gideon Hall Ware,"Blackwell Water Well Serv., Inc.",2341,
50750,New Well,Public Supply,City of Bronte,Coke,"1 1/4 S. Hwy.70-Eastside, Blackwell, 79506",32.067222,-100.306667,29-62-5,12/2/2003,12/10/2003,2003,305,Gideon Hall Ware,"Blackwell Water Well Serv., Inc.",2341,
244164,New Well,Public Supply,Caprcorn Ridge Wind Farm/Nextera Energy,Sterling,"1/2 Mile N. 158 on Bird Lane, Sterling City, 76951",31.919722,-100.940556,43-01-5,1/27/2011,1/30/2011,2011,325,Ronny Keith,West Texas Water Well Service,4854,
522564,New Well,Public Supply,Crossland Construction,Glasscock,"Hwy 137 South, Stanton, 79782",31.979556,-101.731667,44-03-1,7/12/2019,8/12/2019,2019,80,Russell Langford,"Associated Well Services, Inc.",56062,202497
311330,New Well,Public Supply,pioneer nat rec,Glasscock,"cr 106, garden city,",31.686945,-101.731389,44-19-4,1/28/2013,1/31/2013,2013,250,Mike Tharp,AAW Services,55070,
287198,New Well,Public Supply,Pioneer,Glasscock,"East of Midkiff, Midland, 79706",31.682222,-101.732222,44-19-4,2/6/2012,2/22/2012,2012,280,Greg Stansell,AAW Services,58309,163751
287190,New Well,Public Supply,Pioneer,Glasscock,"East of Midkiff, Midland, 79706",31.685278,-101.731944,44-19-4,1/20/2012,1/26/2012,2012,260,Greg Stansell,AAW Services,58309,
605109,New Well,Public Supply,kent kwik,Midland,"east loop 250 and i 20, midland, 79705",32.030816,-101.987812,28-57-7,3/12/2022,3/12/2022,2022,103,Richard Todd Ashley,aquatech solutions,60765,
605105,New Well,Public Supply,kent kwik,Midland,"loop 250 and south i 20 scv. rd, midland, 79706",32.029951,-101.987234,28-57-7,3/11/2022,3/11/2022,2022,103,Richard Todd Ashley,aquatech solutions,60765,
600187,New Well,Public Supply,Stewart and Stevensons,Midland,"11120 West Hwy 80E, Odessa, 79765",31.918056,-102.230833,45-07-4,1/10/2022,3/11/2022,2022,117,Bill M Dubose Jr,"Dubose Drilling, Inc",3161,
600156,New Well,Public Supply,WATER RUNNER,Midland,"11906 JORDY RD, MIDLAND, 79707",31.969953,-102.264489,45-06-3,2/28/2022,3/2/2022,2022,175,Russell Southerland,WEST TEXAS WATER WELL SERVICE,2713,
540448,New Well,Public Supply,ENDEAVOR MAN CAMP,Midland,"1/4 S OF CR 180 ON 349, MIDLAND,",31.852472,-102.043833,45-16-2,3/17/2020,3/23/2020,2020,170,Ronny Keith,WEST TEXAS WATER WELL SERVICE,4854,
537460,New Well,Public Supply,ENDEAVOR MAN CAMP,Midland,"1/4 S OF CR 180 ON 349, MIDLAND,",31.851139,-102.045194,45-16-2,2/28/2020,3/3/2020,2020,170,Ronny Keith,WEST TEXAS WATER WELL SERVICE,4854,
537452,New Well,Public Supply,ENDEAVOR MAN CAMP,Midland,"1/4 S OF CR 180 ON 349, MIDLAND,",31.852742,-102.046306,45-16-2,2/24/2020,2/27/2020,2020,165,Ronny Keith,WEST TEXAS WATER WELL SERVICE,4854,
